Player,Pos,Nation,Age,MP,Min,Gls,Ast,G+A,Gls_90,Ast_90,xG,xAG,Comp,Squad
Maxime Estève,DF,fr FRA,21.0,28,2304,1,1,2,0.045,0.045,0.5,0.3,"eng Premier League, fr Ligue 1","Burnley, Montpellier"
Maxime Gonalons,MF,fr FRA,34.0,21,1296,1,0,1,0.07,0.0,0.4,0.2,fr Ligue 1,Clermont Foot
Maxime Lopez,MF,fr FRA,25.0,21,940,0,0,0,0.0,0.0,0.2,0.8,"it Serie A, it Serie A","Fiorentina, Sassuolo"
Maximilian Arnold,MF,de GER,29.0,30,2506,2,1,3,0.07,0.04,1.0,3.9,de Bundesliga,Wolfsburg
Maximilian Bauer,DF,de GER,23.0,14,810,1,0,1,0.11,0.0,1.4,0.0,de Bundesliga,Augsburg
Maximilian Beier,"FW,MF",de GER,20.0,33,2420,16,1,17,0.6,0.04,11.4,2.4,de Bundesliga,Hoffenheim
Maximilian Breunig,FW,de GER,22.0,2,9,0,0,0,0.0,0.0,0.0,0.0,de Bundesliga,Freiburg
Maximilian Eggestein,MF,de GER,26.0,33,2914,1,2,3,0.03,0.06,2.4,2.8,de Bundesliga,Freiburg
Maximilian Mittelstädt,DF,de GER,26.0,31,2103,2,4,6,0.09,0.17,0.9,4.2,de Bundesliga,Stuttgart
Maximilian Philipp,"FW,MF",de GER,29.0,17,323,1,0,1,0.28,0.0,0.5,0.4,de Bundesliga,Freiburg
Maximilian Wittek,"DF,FW",de GER,27.0,21,1070,3,1,4,0.25,0.08,1.3,1.4,de Bundesliga,Bochum
Maximilian Wöber,DF,at AUT,25.0,25,2066,2,3,5,0.09,0.13,1.3,1.6,de Bundesliga,Gladbach
Maximiliano Caufriez,DF,be BEL,26.0,20,1659,0,1,1,0.0,0.05,0.4,0.2,fr Ligue 1,Clermont Foot
Maxwel Cornet,"MF,FW",ci CIV,26.0,7,112,1,0,1,0.8,0.0,0.4,0.2,eng Premier League,West Ham
